,name,amount,price,reviews,cost_per_ml
0,Jean Paul Gaultier Le Male Elixir  ,125,35.64,8.3,0.28512
1,Creed Aventus  ,100,199.99,8.4,1.9999
2,Afnan Supremacy Collector's Edition  ,100,32.69,8.2,0.32689999999999997
3,Rasasi Hawas Ice For Him  ,100,20.09,7.8,0.2009
4,Jean Paul Gaultier Le Beau Le  ,125,38.02,8.0,0.30416000000000004
5,Montblanc Explorer  ,100,36.99,7.8,0.3699
6,Versace Eros  ,100,59.93,7.5,0.5992999999999999
7,Chanel Bleu De Chanel  ,100,81.95,8.2,0.8195
8,Hugo Boss Bottled  ,200,50.99,7.4,0.25495
9,Valentino Uomo Born in Roma Coral Fantasy  ,100,68.05,8.0,0.6805
10,Yves Saint Laurent Y Men  ,60,55.27,7.5,0.9211666666666667
11,Dior Fahrenheit  ,100,43.03,7.9,0.4303
12,Chanel Bleu de Chanel  ,100,80.95,8.2,0.8095
13,Lattafa Asad  ,100,7.91,7.6,0.0791
14,Dior Sauvage  ,100,89.99,7.5,0.8998999999999999
15,Hugo Boss Bottled Absolu  ,100,57.95,8.4,0.5795
16,Jean Paul Gaultier Le Male Le   ,125,68.99,8.4,0.55192
17,Giorgio Armani Stronger With You Absolutely  ,100,34.99,8.2,0.34990000000000004
18,Dior Sauvage  ,100,138.16,7.5,1.3816
19,Calvin Klein Eternity For Men  ,100,22.58,6.7,0.22579999999999997
20,Jean Paul Gaultier Le Beau Paradise Garden  ,125,30.9,7.3,0.24719999999999998
21,Dolce & Gabbana Light Blue Eau Intense Pour Homme  ,100,60.95,7.6,0.6095
22,Montblanc Explorer Extreme  ,100,44.99,7.8,0.4499
24,Armaf Club De Nuit Intense Man  ,200,39.15,7.5,0.19574999999999998
25,Carolina Herrera 212 Men  ,100,52.5,7.5,0.525
26,Hermes Terre D'Hermes  ,100,55.0,8.1,0.55
27,Versace Pour Homme  ,100,34.9,7.7,0.349
28,Hugo Boss The Scent  ,200,60.48,6.8,0.3024
29,Yves Saint Laurent Y Men  ,100,75.95,7.5,0.7595000000000001
30,Dior Sauvage Elixir  ,60,125.5,8.1,2.091666666666667
31,Prada Paradigme  ,50,58.43,6.5,1.1686
32,Giorgio Armani Stronger With You Intensely  ,30,45.45,8.3,1.5150000000000001
33,Armaf Club De Nuit Intense Man  ,105,11.29,7.5,0.10752380952380952
34,Viktor & Rolf Spicebomb Extreme  ,90,42.99,8.4,0.4776666666666667
35,Montblanc Explorer  ,200,63.8,7.8,0.319
36,Issey Miyake L'Eau D'Issey Pour Homme  ,125,34.85,7.7,0.2788
37,Hugo Boss Bottled Night  ,200,40.95,6.4,0.20475000000000002
38,Hugo Boss Bottled  ,100,41.98,7.4,0.41979999999999995
39,Hugo Boss The Scent  ,100,42.56,6.8,0.42560000000000003
